case_id,stratum,role,cik,form,accession,chars,status
P142,distressed,gap_prone,1481792,8-K,0001481792-12-000026,4487,ok
P143,distressed,gap_prone,1037016,8-K,0001571049-15-001716,138856,ok
P144,distressed,gap_prone,906163,8-K,0000950123-10-034817,307098,ok
P145,distressed,gap_prone,1307954,8-K,0001104659-09-052428,374096,ok
P146,distressed,gap_prone,1301063,8-K,0001193125-16-650114,519169,ok
P147,distressed,gap_prone,1520566,8-K,0001193125-12-396051,291882,ok
P148,distressed,gap_prone,1704715,S-4,0001628280-18-011255,2500095,ok
P149,distressed,gap_prone,72911,8-K,0001193125-09-141833,41121,ok
P150,distressed,gap_prone,921738,8-K,0001104659-09-065443,249147,ok
P151,distressed,gap_prone,1310067,8-K,0001193125-18-341446,22550,ok
P152,distressed,gap_prone,885590,8-K,0000885590-18-000074,9170,ok
P153,distressed,gap_prone,1309402,8-K,0001193125-16-787484,74707,ok
P154,distressed,gap_prone,1489137,8-K,0001104659-16-120339,968923,ok
P155,distressed,gap_prone,1123647,8-K,0001193125-12-501946,66765,ok
P156,distressed,gap_prone,1023291,10-K,0001193125-14-176746,579315,ok
P157,distressed,gap_prone,1376812,10-K,0000950103-12-004067,44012,ok
P158,distressed,gap_prone,858339,8-K,0001193125-15-011354,12132,ok
P159,distressed,gap_prone,1585854,8-K,0001193125-16-684473,337536,ok
P160,distressed,gap_prone,1326428,8-K,0001193125-16-599897,11632,ok
P161,distressed,gap_prone,1064728,8-K,0001193125-16-677563,46010,ok
P162,distressed,gap_prone,878079,8-K,0001104659-18-000532,7962,ok
P163,distressed,gap_prone,31235,8-K,0000031235-12-000109,29106,ok
P164,distressed,gap_prone,38079,8-K,0001104659-15-040093,71844,ok
P165,distressed,gap_prone,1400891,8-K,0001193125-18-219041,44871,ok
P166,distressed,gap_prone,1394954,8-K,0001445305-14-005438,30605,ok
P167,distressed,gap_prone,1058623,8-K,0001058623-17-000028,17012,ok
P168,distressed,gap_prone,1037676,8-K,0001104659-16-149399,363999,ok
P169,distressed,gap_prone,6201,8-K,0000006201-12-000001,8146,ok
P170,distressed,gap_prone,813781,10-K,0000813781-13-000016,432538,ok
P171,distressed,gap_prone,1349436,8-K,0001193125-16-733811,484817,ok
P172,distressed,gap_prone,1105055,8-K,0001104659-12-018950,347606,ok
P173,distressed,gap_prone,1533924,8-K,0001104659-16-143491,298201,ok
P174,distressed,gap_prone,1357371,8-K,0001357371-16-000348,406392,ok
P175,distressed,gap_prone,75208,10-K,0001144204-12-011875,496636,ok
P176,control,control,9892,DEFM14A,0001193125-17-220263,967287,ok
P177,control,control,1564822,DEFM14A,0001193125-18-275423,1041721,ok
P178,control,control,1477294,DEFM14A,0001477294-18-000012,493630,ok
P179,control,control,1024657,DEFM14A,0001193125-17-215084,1001900,ok
P180,control,control,1577095,DEFM14A,0001047469-17-005072,1012515,ok
P181,control,control,1163348,DEFM14A,0001047469-17-004976,1647102,ok
P182,control,control,880285,DEFM14A,0001193125-18-323821,923242,ok
P183,control,control,1388195,DEFM14A,0001567619-17-002126,763152,ok
P184,control,control,1344980,DEFM14A,0001047469-18-003237,532455,ok
P185,control,control,1230276,DEFM14A,0000930413-18-003625,881065,ok
P186,control,control,884905,DEFM14A,0001193125-17-259883,3126670,ok
P187,control,control,916457,DEFM14A,0001193125-17-341396,972135,ok
P188,control,control,1407739,DEFM14A,0001193125-17-257795,1783458,ok
P189,control,control,933036,DEFM14A,0001193125-18-249885,768664,ok
P190,control,control,808362,DEFM14A,0001193125-17-187240,2254279,ok
P191,control,control,886035,DEFM14A,0001193125-18-011306,690895,ok
P192,control,control,1312073,DEFM14A,0001193125-18-169570,750972,ok
P193,control,control,1434620,DEFM14A,0001193125-18-223956,1284774,ok
P194,control,control,1137411,DEFM14A,0001193125-17-365512,1115902,ok
P195,control,control,3116,DEFM14A,0001308179-17-000193,769325,ok
P196,control,control,314808,DEFM14A,0001047469-18-007564,1210458,ok
P197,control,control,1145460,DEFM14A,0001193125-17-195381,727527,ok
P198,control,control,1677761,DEFM14A,0001193125-17-256025,736709,ok
P199,control,control,1617898,DEFM14A,0001047469-18-005152,1143314,ok
P200,control,control,1575879,DEFM14A,0001193125-17-211288,3420612,ok
