sigma,N,alpha,functional_form,sigma_query_mult,mu_push_mean,mu_push_sd,mu_push_p25,mu_push_p975,mu_pull_mean,mu_pull_sd,mu_pull_p25,mu_pull_p975,mu_alpha_mean,cohens_d,ratio_push_pull,n_trials
0.1,100,0.2,log_quadratic,0.1,0.1460443182268459,0.006755933631861351,0.1331767720994032,0.15969850698024005,0.000799700188789226,3.9807709921740386e-05,0.000723452742453019,0.0008799026757702756,0.1169953946192346,30.403398589255403,182.6238386262758,10000
0.1,100,0.2,log_quadratic,0.3,0.1460117064910323,0.006742151130731838,0.13293994774209575,0.1591943018552364,0.007170841256484497,0.0003573000610103367,0.006469909780559546,0.007886368663822326,0.11824353344412271,29.08203749326847,20.361865681937367,10000
0.1,100,0.4,quadratic,0.01,0.15999195235799846,0.007990000684528238,0.14465934187908172,0.17639838453354137,8.006088776882558e-06,3.9998748597279633e-07,7.236392822356459e-06,8.793631076701039e-06,0.09599837385030982,28.316826897212657,19983.784444156106,10000
0.1,100,0.4,quadratic,0.1,0.16009502083481858,0.007958839236225795,0.14492189222414684,0.17628759704415353,0.0008000530015445337,3.9859784349653104e-05,0.0007220109281172866,0.0008782047627187658,0.09637703370150895,28.304916337734017,200.10551866657443,10000
0.1,100,0.4,quadratic,0.3,0.1601607500765343,0.00788006695109373,0.1449204131296375,0.1759373865294555,0.007206408133823031,0.00035814137509039985,0.00651944026425745,0.007923303477443857,0.09897901329944982,27.421980682878004,22.224768164992664,10000
0.1,100,0.4,l1,0.01,0.9026058623564204,0.02416857410080612,0.85561200014333,0.9499457729595627,0.006381680961951027,0.00017169151834086998,0.006050012800617024,0.006720413368914508,0.5441161897986326,52.44084350167092,141.43700817041048,10000
0.1,100,0.4,l1,0.1,0.9025982480289809,0.023977541602703704,0.8563834636512497,0.9508485476693328,0.0638199888108477,0.0017281096879990187,0.06046470076960585,0.06717610306288463,0.5670869443417276,49.343787871686835,14.142876939451346,10000
0.1,100,0.4,l1,0.3,0.9026619114444504,0.02437973695596211,0.8561035296471055,0.9509792307334602,0.1914128074343389,0.005129338812382266,0.18131156340791255,0.20167631826277058,0.6181622698404057,40.374045015853575,4.71578638620665,10000
0.1,100,0.4,log_quadratic,0.01,0.1461375294636966,0.00672135188570021,0.13323684117627554,0.15948431908987087,7.995348940684297e-06,4.030639932168623e-07,7.2203516220507995e-06,8.801144569306968e-06,0.08768571581779422,30.746548038413856,18277.817584680568,10000
0.1,100,0.4,log_quadratic,0.1,0.1461318488072902,0.00674370264792091,0.13321371223889564,0.159515615673241,0.0007989097355148987,3.9632904163247124e-05,0.0007238031112530853,0.0008788500525747614,0.08799867317858007,30.477065025387073,182.91409193193516,10000
0.1,100,0.4,log_quadratic,0.3,0.1461870841415,0.006763333822778628,0.13312066616231932,0.15974976800889037,0.007166967624249992,0.00035666801708496943,0.006490358572358912,0.007872636375953344,0.0905790375346,29.02877879833887,20.397341219578646,10000
0.1,100,0.6,quadratic,0.01,0.15999421288252033,0.008107998179095258,0.14465026321948116,0.1763333435571508,7.997591586188851e-06,3.9821076472656155e-07,7.240056326062554e-06,8.796351892297573e-06,0.06400248370795986,27.905121607902394,20005.29924018832,10000
0.1,100,0.6,quadratic,0.1,0.16011472105910493,0.008037398554925523,0.14489035896084115,0.17607467219306283,0.0007997625133164671,3.986014705497605e-05,0.0007245488698534924,0.0008782809393415202,0.06452574593163185,28.031782035347767,200.20283320749658,10000
0.1,100,0.6,quadratic,0.3,0.16004810979367867,0.008014657626816921,0.14436238305129326,0.17593147346145788,0.007201395185069343,0.00036037916513762745,0.006517586341183708,0.007934119710371904,0.06834008102851306,26.943098253810764,22.224597550972696,10000
0.1,100,0.6,l1,0.01,0.902927089830015,0.02415023960938012,0.856495499778091,0.9507175212263403,0.0063830647906077485,0.00016773311719438307,0.006056689413228655,0.00672001100008918,0.36500067480637066,52.49944348838449,141.45667002450165,10000
0.1,100,0.6,l1,0.1,0.9022804367935725,0.02409433570810026,0.8551843036227097,0.9512217473658597,0.06380455818265102,0.0017139113739298062,0.06047584008352954,0.0671695827227298,0.3991949096270196,49.09018048589312,14.141316271020116,10000
0.1,100,0.6,l1,0.3,0.9024318286949623,0.02409210111568408,0.855353770430895,0.9496106247478637,0.1914634379049524,0.005080698933914891,0.18159496150776,0.20148287988175648,0.47585079422095644,40.835885751131094,4.713337640698553,10000
0.1,100,0.6,log_quadratic,0.01,0.14610357994952947,0.0067244298665789575,0.13319587421723367,0.159728513115521,8.000894123352458e-06,4.00437066938973e-07,7.232725596703885e-06,8.820665762548576e-06,0.05844623251628579,30.725333304975432,18260.906555817608,10000
0.1,100,0.6,log_quadratic,0.1,0.14609016457784077,0.006727464799114009,0.13330096407358707,0.15959673167100094,0.000799316829766963,3.976969484070688e-05,0.0007230999761414548,0.0008782772595310951,0.05891565592899649,30.541772175955952,182.76878346278866,10000
0.1,100,0.6,log_quadratic,0.3,0.1461836264713163,0.006707214015445187,0.13314400846823035,0.15941131930066468,0.007161610979084397,0.0003541191286616716,0.006490883758838274,0.007871535479114391,0.06277041717597716,29.271970506382047,20.412114941491236,10000
0.1,100,0.8,quadratic,0.01,0.15988288167887255,0.007934471770158115,0.14465551823936,0.17586056579171275,8.001906141667978e-06,4.0150781442490064e-07,7.233170620210481e-06,8.804496638448036e-06,0.031982977860687836,28.49556082841534,19980.599478206994,10000
0.1,100,0.8,quadratic,0.1,0.1598376627524024,0.00803146255065862,0.14445202642611638,0.1758900614479424,0.0007995140300442902,4.022281514829973e-05,0.0007230431832658447,0.0008804867496565472,0.03260714377451591,28.00375210483763,199.91852143426175,10000
0.1,100,0.8,quadratic,0.3,0.16009661823780638,0.008001648284236369,0.14468113467475852,0.17642901304864414,0.00719700018198836,0.00035946129510454095,0.006504073683173301,0.00790985161682538,0.037776923793151965,26.996294338020224,22.244909571973288,10000
0.1,100,0.8,l1,0.01,0.9024140149215211,0.024061869147529925,0.8555043331089216,0.9495917874022599,0.006382096139963637,0.00017008057228310545,0.006053804967615298,0.006710717411614795,0.18558847989627508,52.6621115362262,141.39774693626956,10000
0.1,100,0.8,l1,0.1,0.9027688606205971,0.02379085138749588,0.857019712249939,0.949887242139993,0.0638158654641276,0.0017283819594798874,0.060457990468471626,0.06718202131612373,0.23160646449542147,49.73928974013334,14.146464269579871,10000
0.1,100,0.8,l1,0.3,0.9026868146617449,0.024088723573563203,0.8559011107842779,0.9500466901032623,0.1914189806407352,0.005139749692907094,0.1815191010245835,0.20160474664170788,0.33367254744493713,40.838241049866234,4.715764401420323,10000
0.1,100,0.8,log_quadratic,0.01,0.14613713796157696,0.006682688509680501,0.13336042091780842,0.15917160727454563,7.998878228267509e-06,3.9890672224694005e-07,7.254149106223662e-06,8.804559535697378e-06,0.029233826694897994,30.924351730898604,18269.704049892636,10000
0.1,100,0.8,log_quadratic,0.1,0.1461909821059869,0.006753751210360669,0.1333281017129925,0.15954139965387212,0.0007992749074414411,4.0266294753571916e-05,0.000722547924081948,0.0008797002287581497,0.029877616347150523,30.444010070110384,182.90450600277052,10000
0.1,100,0.8,log_quadratic,0.3,0.14615397856585524,0.0067498695763041645,0.13342662917233664,0.15972737995503833,0.0071672063803370125,0.00036190299431674726,0.006476199981740371,0.007895265754841731,0.03496456081744064,29.078349115278005,20.392042702554754,10000
0.1,100,1.0,quadratic,0.01,0.15994434912192068,0.007944500443096024,0.14476627158829278,0.17575486176283045,8.005317842945592e-06,3.983179099930601e-07,7.24159811766395e-06,8.813201967507463e-06,8.005317842945592e-06,28.47053101197378,19979.762485366657,10000
0.1,100,1.0,quadratic,0.1,0.15995163520672892,0.008084593243572918,0.14472270877222598,0.17615804745495425,0.000800226962381058,3.992876169553895e-05,0.000722734180924429,0.0008801392760020922,0.000800226962381058,27.83953728105222,199.88283665273698,10000
0.1,100,1.0,quadratic,0.3,0.16000689275131502,0.008006927415981082,0.14441582672828662,0.1756616663320078,0.007200248605505661,0.00035658725605359587,0.006514046187751562,0.007920331168616603,0.007200248605505661,26.96255794251098,22.222412241289273,10000
0.1,100,1.0,l1,0.01,0.9025168574646457,0.024188581659490258,0.8559102454145975,0.9506835363512625,0.006384924101927129,0.00017074867589600193,0.006057594978793018,0.006722622240235421,0.006384924101927129,52.3920905042504,141.35122721227705,10000
0.1,100,1.0,l1,0.1,0.9024576252266892,0.023996711306368827,0.8557658580372225,0.9497910413236854,0.06382304621541952,0.0017324098474542269,0.06049591174449658,0.06722833540832777,0.06382304621541952,49.29549380347481,14.139996110192827,10000
0.1,100,1.0,l1,0.3,0.9026142840381963,0.024113809184640147,0.8555539808338768,0.9496031589528793,0.19150664440903417,0.005170584395958954,0.1815502683820134,0.20172042350307318,0.19150664440903417,40.77775395875869,4.7132269839699426,10000
0.1,100,1.0,log_quadratic,0.01,0.14611134139674403,0.006681010770299804,0.1331799397380942,0.1591995227997252,7.999651622007838e-06,4.033414183991104e-07,7.2300414744231596e-06,8.824389604545632e-06,7.999651622007838e-06,30.926656778638126,18264.71305260059,10000
0.1,100,1.0,log_quadratic,0.1,0.14627947364277594,0.006745120878301656,0.13327682087860265,0.15962041366949584,0.000799301572043623,4.0332576850013604e-05,0.0007229653889029298,0.0008800783077517779,0.000799301572043623,30.501507404913813,183.00911540655963,10000
0.1,100,1.0,log_quadratic,0.3,0.1461237490300346,0.0067454136452142705,0.13297467439491636,0.1594573832943749,0.0071678912860890275,0.00035129732638111656,0.006500052648005534,0.007874022217788471,0.0071678912860890275,29.09344208430784,20.385876849670137,10000
0.1,500,0.0,quadratic,0.01,0.16002689149628785,0.003585279998394599,0.15314698403226237,0.16732600039576764,8.002130080172718e-06,1.8037497560487545e-07,7.651153472922029e-06,8.35591571187495e-06,0.16002689149628785,63.11944489482261,19998.036759336686,10000
0.1,500,0.0,quadratic,0.1,0.15997200036999543,0.003530680771754434,0.15318544458170952,0.16705950316568816,0.0007999770489321176,1.8036582441576673e-05,0.0007650798486596374,0.0008354813301425007,0.15997200036999543,63.75549404605428,199.9707373899547,10000
0.1,500,0.0,quadratic,0.3,0.16002325596618422,0.0035958542778713244,0.15306470956554385,0.16723355413213142,0.0072006029368947115,0.00016051002879739315,0.0068916509080853856,0.007517607921254588,0.16002325596618422,60.04383347475222,22.22359118654512,10000
0.1,500,0.0,l1,0.01,0.9027454422642012,0.010887020492559457,0.8811230983637899,0.924376664300844,0.00638326909710878,7.719812095870603e-05,0.006234161233836283,0.006535109159072939,0.9027454422642012,116.43366295598926,141.42368565866795,10000
0.1,500,0.0,l1,0.1,0.9027619674036552,0.010665418784570311,0.8822523553165408,0.92355681785789,0.06384894275315166,0.0007665995096149632,0.062379942480671365,0.065358881948894,0.9027619674036552,110.95198028697727,14.139027656164187,10000
0.1,500,0.0,l1,0.3,0.9026275087762058,0.010721504095332587,0.8820759180050691,0.9235877379459515,0.19146400229666022,0.0023125504548023993,0.18696256161359942,0.19595075561233738,0.9026275087762058,91.6968216756185,4.714345767083919,10000
0.1,500,0.0,log_quadratic,0.01,0.14607700928689532,0.0030313922474286326,0.1402691128345509,0.15211262211684512,7.999783909921592e-06,1.791872631877947e-07,7.64522155561722e-06,8.352604181533863e-06,0.14607700928689532,68.1445214144961,18260.119389690746,10000
0.1,500,0.0,log_quadratic,0.1,0.14615033690422902,0.003004170642847995,0.1404003946217952,0.15212166504892022,0.000799813562252122,1.7777484825606273e-05,0.0007656958966759094,0.0008356299756034282,0.14615033690422902,68.42257209968237,182.73050596028605,10000
0.1,500,0.0,log_quadratic,0.3,0.1460925555686045,0.0030203410262783052,0.14030505324593429,0.15211717405300487,0.00716704579542319,0.00016113957587076712,0.0068603999468318305,0.007488177059448295,0.1460925555686045,64.95667857320346,20.383929409506198,10000
0.1,500,0.2,quadratic,0.01,0.15995154365492978,0.0036013171951268575,0.15298639846499518,0.16707329518413122,8.002485504226986e-06,1.769610307193208e-07,7.660504244527978e-06,8.35328291182265e-06,0.12796283542104467,62.80877595808022,19987.733007506467,10000
0.1,500,0.2,quadratic,0.1,0.15998408623202215,0.0035607595881096818,0.15318297736052458,0.1670188337632305,0.0007998333444828456,1.773207063195209e-05,0.0007654863400920787,0.0008347721339596997,0.12814723565451427,63.22183018900787,200.02177620572232,10000
0.1,500,0.2,quadratic,0.3,0.1599444182449888,0.003571470978857944,0.15308849452850787,0.16703381568034723,0.007203528110518465,0.00016141141937311211,0.006880503742939655,0.007513760215466581,0.12939624021809476,60.41991448330928,22.203622418220426,10000
0.1,500,0.2,l1,0.01,0.9027332053475333,0.01080078679074791,0.8819255568750285,0.9239791495128129,0.00638287223068117,7.6497157152135e-05,0.006234551028371836,0.0065340363056430725,0.7234631387241629,117.36172833280655,141.43056177879893,10000
0.1,500,0.2,l1,0.1,0.9025631693916463,0.010826243251786686,0.8813876332198051,0.924267715543395,0.06383136269476389,0.00076118693882518,0.06233816860455287,0.06533379965357623,0.7348168080522698,109.29228986561479,14.139807318662866,10000
